"Country.Province" "Lat" "Long" "Sum_ills" "Mean_ills" "Std_ills"
"182" "Marshall Islands:" 7.1315 171.1845 2227 2.81186868686869 2.30290544633191
"183" "Mauritania:" 21.0079 -10.9408 15585153 19678.2234848485 17509.734449654
"184" "Mauritius:" -20.348404 57.552152 15094821 19059.1174242424 41660.9535968251
"185" "Mexico:" 23.6345 -102.5528 1590375905 2008050.38510101 1649044.95148765
"186" "Micronesia:" 7.4256 150.5508 427 0.539141414141414 0.498780581490833
"187" "Moldova:" 47.4116 28.3699 145036059 183126.337121212 151320.106763014
"188" "Monaco:" 43.7333 7.4167 1750072 2209.68686868687 2520.95984778886
"189" "Mongolia:" 46.8625 103.8467 148219039 187145.251262626 296348.942420256
"190" "Montenegro:" 42.708678 19.37439 60073717 75850.6527777778 71104.9899665168
"191" "Morocco:" 31.7917 -7.0926 368146990 464832.058080808 389278.608505014
"192" "Mozambique:" -18.665695 35.529562 56398527 71210.2613636364 75028.4583630599
"193" "Namibia:" -22.9576 18.4904 45912349 57970.1376262626 58050.6951961038
"194" "Nepal:" 28.1667 84.25 305285096 385460.97979798 346819.543040453
"195" "Netherlands:Aruba" 12.5211 -69.9683 7555648 9539.9595959596 9500.34908978062
"196" "Netherlands:Bonaire, Sint Eustatius and Saba" 12.1784 -68.2385 1106626 1397.25505050505 2088.01696233374
"197" "Netherlands:Curacao" 12.1696 -68.99 7615875 9616.00378787879 11174.2677722752
"198" "Netherlands:Sint Maarten" 18.0425 -63.0548 1964674 2480.64898989899 2668.68314150608
"199" "Netherlands:" 52.1326 5.2913 1124698969 1420074.45580808 1656610.25862251
"200" "New Zealand:Cook Islands" -21.2367 -159.7777 8961 11.3143939393939 80.9859340373079
"201" "New Zealand:" -40.9006 174.886 11655436 14716.4595959596 63047.4405906375
"202" "Nicaragua:" 12.865416 -85.207229 6155547 7772.1553030303 5914.3220146025
"203" "Niger:" 17.607789 8.081666 3066176 3871.43434343434 2800.19892886126
"204" "Nigeria:" 9.082 8.6753 96243997 121520.198232323 86144.4074667947
"205" "North Macedonia:" 41.6086 21.7453 85894619 108452.801767677 93271.1999044617
"206" "Norway:" 60.472 8.4689 136050632 171781.101010101 296046.418939053
"207" "Oman:" 21.512583 55.923255 134653071 170016.503787879 121269.068380497
"208" "Pakistan:" 30.3753 69.3451 532813268 672744.025252525 494252.82681885
"209" "Palau:" 7.515 134.5825 189132 238.80303030303 869.324469467283
"210" "Panama:" 8.538 -80.7821 226830453 286402.087121212 221010.025561098
"211" "Papua New Guinea:" -6.314993 143.95555 9118333 11513.0467171717 14100.3567941907
"212" "Paraguay:" -23.4425 -58.4438 182857855 230881.130050505 216231.942702465
"213" "Peru:" -9.19 -75.0152 1085689270 1370819.78535354 999975.350199759
"214" "Philippines:" 12.879721 121.774017 917820753 1158864.58712121 1199245.42826996
"215" "Poland:" 51.9194 19.1451 1467966948 1853493.62121212 1708706.40107086
"216" "Portugal:" 39.3999 -8.2245 589735781 744615.88510101 825658.885348028
"217" "Qatar:" 25.3548 51.1839 130464758 164728.22979798 96047.3161760637
"218" "Romania:" 45.9432 24.9668 657864168 830636.575757576 773903.033266645
"219" "Russia:" 61.52401 105.318756 3631960907 4585809.2260101 4292309.76578244
"220" "Rwanda:" -1.9403 29.8739 31409198 39658.0782828283 45928.1068452181
"221" "Saint Kitts and Nevis:" 17.357822 -62.782998 774490 977.891414141414 1681.01018657229
"222" "Saint Lucia:" 13.9094 -60.9789 4192509 5293.57196969697 6737.61406409832
"223" "Saint Vincent and the Grenadines:" 12.9843 -61.2872 1629306 2057.20454545455 2555.47136749129
"224" "Samoa:" -13.759 -172.1046 4146 5.23484848484848 19.3152801758171
"225" "San Marino:" 43.9424 12.4578 3104363 3919.65025252525 3778.15387632282
"226" "Sao Tome and Principe:" 0.1864 6.6131 1593809 2012.3851010101 1687.49790899124
"227" "Saudi Arabia:" 23.885942 45.079162 294060319 371288.281565657 206422.749593038
"228" "Senegal:" 14.4974 -14.4524 28878097 36462.2436868687 29758.0680827513
"229" "Serbia:" 44.0165 21.0059 438489847 553648.796717172 564146.962311291
"230" "Seychelles:" -4.6796 55.492 7864181 9929.52146464646 12419.1073528154
"231" "Sierra Leone:" 8.460555 -11.779889 2948011 3722.23611111111 2498.69295917518
"232" "Singapore:" 1.2833 103.8333 94736268 119616.5 178331.454080967
"233" "Slovakia:" 48.669 19.699 443070144 559432 589185.953512786
"234" "Slovenia:" 46.1512 14.9955 164927314 208241.558080808 234150.295394111
"235" "Solomon Islands:" -9.6457 160.1562 348894 440.522727272727 1718.02785593498
"236" "Somalia:" 5.152149 46.199616 8386083 10588.4886363636 8895.71511647597
"237" "South Africa:" -30.5595 22.9375 1215292839 1534460.65530303 1229877.63046623
"238" "South Sudan:" 6.877 31.307 5678698 7170.07323232323 5611.97519394347
"239" "Spain:" 40.463667 -3.74922 2477159909 3127727.15782828 2973960.90736166
"240" "Sri Lanka:" 7.873054 80.771797 159799568 201767.131313131 238374.151874722
"241" "Sudan:" 12.8628 30.2176 20793532 26254.4595959596 17725.9220022605
"242" "Summer Olympics 2020:" 35.6491 139.7737 195073 246.304292929293 380.65357605385
"243" "Suriname:" 3.9193 -56.0278 15848883 20011.2159090909 23820.5985885677
"244" "Sweden:" 60.128161 18.643501 563914705 712013.516414141 676906.538601227
"245" "Switzerland:" 46.8182 8.2275 494762708 624700.388888889 719085.766149954
"246" "Syria:" 34.802075 38.996815 15284730 19298.9015151515 18355.263589199
"247" "Taiwan*:" 23.7 121 5307476 6701.35858585859 7896.20571496198
"248" "Tajikistan:" 38.861 71.2761 9026375 11396.9381313131 6000.24034242275
"249" "Tanzania:" -6.369028 34.888822 5617875 7093.27651515152 12178.3363746932
"250" "Thailand:" 15.870032 100.992541 499973104 631279.171717172 971517.936515642
"251" "Timor-Leste:" -8.874217 125.727539 5290532 6679.96464646465 8694.62997477425
"252" "Togo:" 8.6195 0.8248 9251623 11681.3421717172 12177.7881496514
"253" "Tonga:" -21.179 -175.1982 45769 57.7891414141414 352.845660895689
"254" "Trinidad and Tobago:" 10.6918 -61.2225 22591934 28525.1691919192 37646.1185440851
"255" "Tunisia:" 33.886917 9.537499 254151630 320898.522727273 328473.677019279
"256" "Turkey:" 38.9637 35.2433 3147801736 3974497.14141414 4117705.74698176
"257" "US:" 40 -100 21037114778 26562013.6085859 22907751.4560559
"258" "Uganda:" 1.373333 32.290275 44529003 56223.4886363636 56705.3028071221
"259" "Ukraine:" 48.3794 31.1656 1277481788 1612982.05555556 1513373.28865188
"260" "United Arab Emirates:" 23.424076 53.847818 304865962 384931.77020202 314983.272500181
"261" "United Kingdom:Anguilla" 18.2206 -63.0686 323878 408.936868686869 761.532949668223
"262" "United Kingdom:Bermuda" 32.3078 -64.7505 1990900 2513.76262626263 3306.46754750406
"263" "United Kingdom:British Virgin Islands" 18.4207 -64.64 967400 1221.46464646465 1848.48856323408
"264" "United Kingdom:Cayman Islands" 19.3133 -81.2546 1930949 2438.06691919192 5058.23147332555
"265" "United Kingdom:Channel Islands" 49.3723 -2.3644 0 0 0
"266" "United Kingdom:Falkland Islands (Malvinas)" -51.7963 -59.5236 34649 43.7487373737374 32.5078031814386
"267" "United Kingdom:Gibraltar" 36.1408 -5.3536 3059716 3863.27777777778 4115.19660907455
"268" "United Kingdom:Guernsey" 49.448196 -2.58949 1652115 2086.00378787879 3836.30321438539
"269" "United Kingdom:Isle of Man" 54.2361 -4.5481 3534912 4463.27272727273 6882.16648987072
"270" "United Kingdom:Jersey" 49.2138 -2.1358 5348860 6753.61111111111 10038.4369358014
"271" "United Kingdom:Montserrat" 16.742498 -62.187366 25250 31.8813131313131 42.8579348937356
"272" "United Kingdom:Saint Helena, Ascension and Tristan da Cunha" -7.9467 -14.3559 2078 2.62373737373737 1.7613183694899
"273" "United Kingdom:Turks and Caicos Islands" 21.694 -71.7979 1439086 1817.02777777778 1674.10084755177
"274" "United Kingdom:" 55.3781 -3.436 3841136964 4849920.40909091 5371795.33228433
"275" "Uruguay:" -32.5228 -55.7658 157542404 198917.176767677 240955.04372709
"276" "Uzbekistan:" 41.377491 64.585262 74458787 94013.619949495 73877.495017984
"277" "Vanuatu:" -15.3767 166.9592 9584 12.1010101010101 85.6364874855609
"278" "Venezuela:" 6.4238 -66.5897 152095513 192039.789141414 171065.940104408
"279" "Vietnam:" 14.058324 108.277199 408565265 515865.233585859 1189613.73161847
"280" "West Bank and Gaza:" 31.9522 35.2332 171594073 216659.183080808 199070.544158022
"281" "Winter Olympics 2022:" 39.9042 116.4074 26677 33.6830808080808 123.912786166637
"282" "Yemen:" 15.552727 48.516388 3704317 4677.16792929293 3934.97081541415
"283" "Zambia:" -13.133897 27.849332 79932122 100924.396464646 104749.522479174
"284" "Zimbabwe:" -19.015438 29.154857 50429269 63673.3194444444 76795.0463808203
